user_id,X_train_rows,X_test_rows,train_accuracy,test_accuracy
ZcEstCa4fDhNXrkZ8_Gh0Q,115,29,0.608695652174,0.413793103448
_rg8SIAg4w2_CsVJNlm7Uw,90,23,0.544444444444,0.565217391304
jp5lBxgdCpDRhSeEuRK_kA,135,34,0.644444444444,0.441176470588
9cCTmiJ7hz35rHIdr8n9kA,236,59,0.677966101695,0.508474576271
T_kMEgHqIqwbHR_7yhqWFw,87,22,0.597701149425,0.545454545455
dQ3fXZETKfst-aJ2zBdtOw,104,26,0.615384615385,0.423076923077
uc4QurS1XrvyiIpne2IbhA,176,45,0.642045454545,0.6
H8eeWraDOMtorUlQUkXqpw,163,41,0.552147239264,0.414634146341
VUzGMSH9u1E3h4QxaIl6cw,100,26,0.72,0.615384615385
AeucYo8J-rZjcq09Wuqsjw,156,40,0.551282051282,0.45
2HmHgW3hRYvXYFmQyQtLuw,272,68,0.522058823529,0.397058823529
auVkTXPmA8o3oU8barlBSw,240,61,0.595833333333,0.426229508197
2XCsVpAMsGUykrM-BBFEXA,83,21,0.578313253012,0.333333333333
TQ5eVGOFr_qB5_BbEd3Sow,111,28,0.585585585586,0.5
11QzsQ-nmRykVvD4agGRPw,141,36,0.560283687943,0.361111111111
kciO7KU4MqlGwJw4soDO4w,139,35,0.611510791367,0.514285714286
29tFtiHrJ0M0dJR3BM5TfA,84,21,0.690476190476,0.428571428571
KSTOdz0lSFCkqBSRNwjERA,130,33,0.7,0.636363636364
NfyrHToGY6aJu22U9oS8Xg,160,40,0.53125,0.5
Z1HUewAmQtestLcgD5ZM6w,104,26,0.625,0.538461538462
ru8p3RTlk8f9LB_3zLXURQ,112,28,0.5625,0.464285714286
NjtSvsZTJ6WP7uXYn6o0IQ,117,30,0.641025641026,0.6
kH1fW7g_ZfURHsNkUb9TJA,85,22,0.694117647059,0.409090909091
sjpVZwAX8gQSH82AGyig4Q,144,37,0.631944444444,0.351351351351
MjCt2ibnYKN6DOldrQtVJg,84,21,0.690476190476,0.571428571429
4IxLt4QvCsJEdaNvH9QApw,124,32,0.532258064516,0.4375
jdeNI5TTTuM6mj3HTgstRA,288,72,0.520833333333,0.319444444444
EKJVvRrFZiBjbkp6OcF4AQ,179,45,0.603351955307,0.533333333333
2l2lRFuHLdyGjAuusqPDag,205,52,0.712195121951,0.538461538462
0Hmez6GVD2c_mGkhCgP9PQ,88,22,0.636363636364,0.227272727273
M-O0tasOl0SGiUsxdO5cZw,126,32,0.507936507937,0.28125
22glItKiH7hQRWszhmcohw,89,23,0.741573033708,0.434782608696
0P58MD0FRVI6pTVKUpd7YA,104,27,0.586538461538,0.333333333333
du6KeE54IFbPiXpU3LOd1g,145,37,0.565517241379,0.486486486486
tdOZQpPQyhjHIL4MnrIKHQ,141,36,0.709219858156,0.527777777778
NLDDaat42UQXQCOpU4e2TA,92,23,0.641304347826,0.260869565217
v26k4Bzy9GiLLlSmDk8LfA,116,29,0.620689655172,0.48275862069
9HCfCmd0t5GErgm7He6AeQ,84,21,0.714285714286,0.428571428571
58PgPEDGX8hLNNVbvCc8cw,140,35,0.664285714286,0.314285714286
lTR9GsUJ8iJqH6yh-51cmg,100,25,0.55,0.36
MUHoBFzwRoXpCpgYSN8KRA,84,21,0.77380952381,0.571428571429
WmAyExqSWoiYZ5XEqpk_Uw,376,95,0.606382978723,0.431578947368
vHoKL-4FCgGSfDrPr43Opw,137,35,0.569343065693,0.428571428571
f5vgLcoKpFcTvD4lOUxcTQ,217,55,0.589861751152,0.309090909091
lC4X2crUuxT9Ac9BlOX4Uw,110,28,0.672727272727,0.285714285714
xFG4Ca2HHmbxDTkMlmHnjQ,139,35,0.625899280576,0.314285714286
wHg1YkCzdZq9WBJOTRgxHQ,243,61,0.650205761317,0.459016393443
APLIPfq1Rf8QyhHHk2uAyA,160,41,0.46875,0.414634146341
YlpzPPySUxJsUJHRyRde8A,160,40,0.68125,0.375
EGiAtB4sgZhDdYpRkDneig,154,39,0.616883116883,0.358974358974
RvyBcMVefE8BADMo0Dl48Q,187,47,0.668449197861,0.553191489362
svkcc6NiBYPp2wfqRo1FQw,95,24,0.610526315789,0.416666666667
W_R-gVF8OHNrIhtmyhDnyg,244,61,0.622950819672,0.360655737705
Vd1lAHzl7UUr9BawFHjOoA,89,23,0.662921348315,0.521739130435
